design,order,po_index,po_gate_id,po_name,bdd_size,status,png,report,dot,log,dofile
adder_8,dfs,3,87,sum[3],11,ok,results/adder_8/dfs/adder_8_dfs_po03_sum_3.png,results/adder_8/dfs/adder_8_dfs_po03_sum_3.bdd.txt,results/adder_8/dfs/adder_8_dfs_po03_sum_3.dot,results/adder_8/dfs/adder_8_dfs_po03_sum_3.log,results/adder_8/dfs/adder_8_dfs_po03_sum_3.do
adder_8,dfs,4,88,sum[4],14,ok,results/adder_8/dfs/adder_8_dfs_po04_sum_4.png,results/adder_8/dfs/adder_8_dfs_po04_sum_4.bdd.txt,results/adder_8/dfs/adder_8_dfs_po04_sum_4.dot,results/adder_8/dfs/adder_8_dfs_po04_sum_4.log,results/adder_8/dfs/adder_8_dfs_po04_sum_4.do
adder_8,dfs,5,89,sum[5],17,ok,results/adder_8/dfs/adder_8_dfs_po05_sum_5.png,results/adder_8/dfs/adder_8_dfs_po05_sum_5.bdd.txt,results/adder_8/dfs/adder_8_dfs_po05_sum_5.dot,results/adder_8/dfs/adder_8_dfs_po05_sum_5.log,results/adder_8/dfs/adder_8_dfs_po05_sum_5.do
adder_8,dfs,6,90,sum[6],20,ok,results/adder_8/dfs/adder_8_dfs_po06_sum_6.png,results/adder_8/dfs/adder_8_dfs_po06_sum_6.bdd.txt,results/adder_8/dfs/adder_8_dfs_po06_sum_6.dot,results/adder_8/dfs/adder_8_dfs_po06_sum_6.log,results/adder_8/dfs/adder_8_dfs_po06_sum_6.do
adder_8,dfs,7,91,sum[7],23,ok,results/adder_8/dfs/adder_8_dfs_po07_sum_7.png,results/adder_8/dfs/adder_8_dfs_po07_sum_7.bdd.txt,results/adder_8/dfs/adder_8_dfs_po07_sum_7.dot,results/adder_8/dfs/adder_8_dfs_po07_sum_7.log,results/adder_8/dfs/adder_8_dfs_po07_sum_7.do
adder_8,dfs,8,92,cout[0],24,ok,results/adder_8/dfs/adder_8_dfs_po08_cout_0.png,results/adder_8/dfs/adder_8_dfs_po08_cout_0.bdd.txt,results/adder_8/dfs/adder_8_dfs_po08_cout_0.dot,results/adder_8/dfs/adder_8_dfs_po08_cout_0.log,results/adder_8/dfs/adder_8_dfs_po08_cout_0.do
adder_8,rdfs,0,84,sum[0],3,ok,results/adder_8/rdfs/adder_8_rdfs_po00_sum_0.png,results/adder_8/rdfs/adder_8_rdfs_po00_sum_0.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po00_sum_0.dot,results/adder_8/rdfs/adder_8_rdfs_po00_sum_0.log,results/adder_8/rdfs/adder_8_rdfs_po00_sum_0.do
adder_8,rdfs,1,85,sum[1],5,ok,results/adder_8/rdfs/adder_8_rdfs_po01_sum_1.png,results/adder_8/rdfs/adder_8_rdfs_po01_sum_1.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po01_sum_1.dot,results/adder_8/rdfs/adder_8_rdfs_po01_sum_1.log,results/adder_8/rdfs/adder_8_rdfs_po01_sum_1.do
adder_8,rdfs,2,86,sum[2],8,ok,results/adder_8/rdfs/adder_8_rdfs_po02_sum_2.png,results/adder_8/rdfs/adder_8_rdfs_po02_sum_2.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po02_sum_2.dot,results/adder_8/rdfs/adder_8_rdfs_po02_sum_2.log,results/adder_8/rdfs/adder_8_rdfs_po02_sum_2.do
adder_8,rdfs,3,87,sum[3],11,ok,results/adder_8/rdfs/adder_8_rdfs_po03_sum_3.png,results/adder_8/rdfs/adder_8_rdfs_po03_sum_3.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po03_sum_3.dot,results/adder_8/rdfs/adder_8_rdfs_po03_sum_3.log,results/adder_8/rdfs/adder_8_rdfs_po03_sum_3.do
adder_8,rdfs,4,88,sum[4],14,ok,results/adder_8/rdfs/adder_8_rdfs_po04_sum_4.png,results/adder_8/rdfs/adder_8_rdfs_po04_sum_4.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po04_sum_4.dot,results/adder_8/rdfs/adder_8_rdfs_po04_sum_4.log,results/adder_8/rdfs/adder_8_rdfs_po04_sum_4.do
adder_8,rdfs,5,89,sum[5],17,ok,results/adder_8/rdfs/adder_8_rdfs_po05_sum_5.png,results/adder_8/rdfs/adder_8_rdfs_po05_sum_5.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po05_sum_5.dot,results/adder_8/rdfs/adder_8_rdfs_po05_sum_5.log,results/adder_8/rdfs/adder_8_rdfs_po05_sum_5.do
adder_8,rdfs,6,90,sum[6],20,ok,results/adder_8/rdfs/adder_8_rdfs_po06_sum_6.png,results/adder_8/rdfs/adder_8_rdfs_po06_sum_6.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po06_sum_6.dot,results/adder_8/rdfs/adder_8_rdfs_po06_sum_6.log,results/adder_8/rdfs/adder_8_rdfs_po06_sum_6.do
adder_8,rdfs,7,91,sum[7],23,ok,results/adder_8/rdfs/adder_8_rdfs_po07_sum_7.png,results/adder_8/rdfs/adder_8_rdfs_po07_sum_7.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po07_sum_7.dot,results/adder_8/rdfs/adder_8_rdfs_po07_sum_7.log,results/adder_8/rdfs/adder_8_rdfs_po07_sum_7.do
adder_8,rdfs,8,92,cout[0],24,ok,results/adder_8/rdfs/adder_8_rdfs_po08_cout_0.png,results/adder_8/rdfs/adder_8_rdfs_po08_cout_0.bdd.txt,results/adder_8/rdfs/adder_8_rdfs_po08_cout_0.dot,results/adder_8/rdfs/adder_8_rdfs_po08_cout_0.log,results/adder_8/rdfs/adder_8_rdfs_po08_cout_0.do
mult_8,file,0,480,p[0],3,ok,results/mult_8/file/mult_8_file_po00_p_0.png,results/mult_8/file/mult_8_file_po00_p_0.bdd.txt,results/mult_8/file/mult_8_file_po00_p_0.dot,results/mult_8/file/mult_8_file_po00_p_0.log,results/mult_8/file/mult_8_file_po00_p_0.do
mult_8,file,1,481,p[1],7,ok,results/mult_8/file/mult_8_file_po01_p_1.png,results/mult_8/file/mult_8_file_po01_p_1.bdd.txt,results/mult_8/file/mult_8_file_po01_p_1.dot,results/mult_8/file/mult_8_file_po01_p_1.log,results/mult_8/file/mult_8_file_po01_p_1.do
mult_8,file,2,482,p[2],17,ok,results/mult_8/file/mult_8_file_po02_p_2.png,results/mult_8/file/mult_8_file_po02_p_2.bdd.txt,results/mult_8/file/mult_8_file_po02_p_2.dot,results/mult_8/file/mult_8_file_po02_p_2.log,results/mult_8/file/mult_8_file_po02_p_2.do
mult_8,file,3,483,p[3],41,ok,results/mult_8/file/mult_8_file_po03_p_3.png,results/mult_8/file/mult_8_file_po03_p_3.bdd.txt,results/mult_8/file/mult_8_file_po03_p_3.dot,results/mult_8/file/mult_8_file_po03_p_3.log,results/mult_8/file/mult_8_file_po03_p_3.do
mult_8,file,4,484,p[4],101,ok,results/mult_8/file/mult_8_file_po04_p_4.png,results/mult_8/file/mult_8_file_po04_p_4.bdd.txt,results/mult_8/file/mult_8_file_po04_p_4.dot,results/mult_8/file/mult_8_file_po04_p_4.log,results/mult_8/file/mult_8_file_po04_p_4.do
mult_8,file,5,485,p[5],257,ok,results/mult_8/file/mult_8_file_po05_p_5.png,results/mult_8/file/mult_8_file_po05_p_5.bdd.txt,results/mult_8/file/mult_8_file_po05_p_5.dot,results/mult_8/file/mult_8_file_po05_p_5.log,results/mult_8/file/mult_8_file_po05_p_5.do
mult_8,file,6,486,p[6],635,ok,results/mult_8/file/mult_8_file_po06_p_6.png,results/mult_8/file/mult_8_file_po06_p_6.bdd.txt,results/mult_8/file/mult_8_file_po06_p_6.dot,results/mult_8/file/mult_8_file_po06_p_6.log,results/mult_8/file/mult_8_file_po06_p_6.do
mult_8,file,7,487,p[7],1645,ok,results/mult_8/file/mult_8_file_po07_p_7.png,results/mult_8/file/mult_8_file_po07_p_7.bdd.txt,results/mult_8/file/mult_8_file_po07_p_7.dot,results/mult_8/file/mult_8_file_po07_p_7.log,results/mult_8/file/mult_8_file_po07_p_7.do
mult_8,file,8,488,p[8],2915,ok,results/mult_8/file/mult_8_file_po08_p_8.png,results/mult_8/file/mult_8_file_po08_p_8.bdd.txt,results/mult_8/file/mult_8_file_po08_p_8.dot,results/mult_8/file/mult_8_file_po08_p_8.log,results/mult_8/file/mult_8_file_po08_p_8.do
mult_8,file,9,489,p[9],2870,ok,results/mult_8/file/mult_8_file_po09_p_9.png,results/mult_8/file/mult_8_file_po09_p_9.bdd.txt,results/mult_8/file/mult_8_file_po09_p_9.dot,results/mult_8/file/mult_8_file_po09_p_9.log,results/mult_8/file/mult_8_file_po09_p_9.do
